ID;BESTLOC;GRAMS;portion;EUFDNAME
36;51.24;11;5.6364;FAT
36;0;11;0;FATRN
36;0;11;0;FD
36;5.2;11;0.572;FE
36;12.5;11;1.375;FIBC
36;6.9;11;0.759;FIBINS
36;7.2;11;0.792;FIBT
36;48;11;5;FOL
36;0.5;11;0.055;FRUS
36;0.3;11;0.033;GLUS
36;5;11;0;ID
36;740;11;81;K
36;0;11;0;LACS
36;0;11;0;MALS
36;278;11;30;MG
36;2.52;11;0.2772;MN
36;0;11;0;MO
36;0;11;0;MYRIC
36;1;11;0;NA
36;2.55;11;0.2805;NACL
36;4;11;0;NIA
36;6.839;11;0.75229;NIAEQ
36;3.85;11;0.4235;NT
36;490;11;53;P
36;24.06;11;2.6466;PROT
36;0.3;11;0.033;PSACNCS
36;360;11;39;QUERCE
36;0;11;0;RETOL
36;0.7;11;0.077;RIBF
36;4;11;0;SE
36;0;11;0;STARCH
36;138.5;11;15.235;STERT
36;5.8;11;0.638;SUCS
36;6.6;11;0.726;SUGAR
36;0;11;0;SUGOH
36;0.25;11;0.0275;THIA
36;170;11;18;TRP
36;0.25;11;0.0275;VITA
36;0;11;0;VITB12
36;0.5;11;0.055;VITC
36;0;11;0;VITD
36;26.44;11;2.9084;VITE
36;0.3;11;0.033;VITK
36;0.06;11;0.0066;VITPYRID
36;2.5;11;0.275;WATER
36;3.3;11;0.363;ZN
37;0;8;0;ALC
37;0;8;0;ASH
37;0;8;0;CA
37;0;8;0;CAROTENS
37;0;8;0;CARTB
37;0;8;0;CHOAVL
37;0;8;0;CHOCDF
37;0;8;0;CHOLE
37;0;8;0;CR
37;0;8;0;CU
37;3700;8;296;ENERC
37;8200;8;656;F16D0T
37;5800;8;464;F18D1T
37;1800;8;144;F18D2CN6
37;0;8;0;F18D3N3
37;0;8;0;F20D4N6
37;0;8;0;F20D5N3
37;0;8;0;F22D6N3
37;98.4286;8;7.874288;FACIDCTG
37;94.1;8;7.528;FAFRE
37;5.8;8;0.464;FAMCIS
37;1.8;8;0.144;FAPU
37;0;8;0;FAPUN3
37;1.8;8;0.144;FAPUN6
37;2.8;8;0.224;FAS18
37;86.5;8;6.92;FASAT
37;100;8;8;FAT
37;0;8;0;FATRN
37;0;8;0;FD
37;0;8;0;FE
37;0;8;0;FIBC
37;0;8;0;FIBINS
37;0;8;0;FIBT
37;0;8;0;FOL
37;0;8;0;FRUS
37;0;8;0;GALS
37;0;8;0;GLUS
37;0;8;0;ID
37;0;8;0;K
37;0;8;0;LACS
37;0;8;0;MALS
37;0;8;0;MG
37;0;8;0;MN
37;0;8;0;MO
37;0;8;0;MYRIC
37;0;8;0;NA
37;0;8;0;NACL
37;0;8;0;NIA
37;0;8;0;NIAEQ
37;0;8;0;NT
37;0;8;0;OA
37;0;8;0;P
37;0;8;0;PROT
37;0;8;0;PSACNCS
37;0;8;0;QUERCE
37;0;8;0;RETOL
37;0;8;0;RIBF
37;0;8;0;SE
37;0;8;0;STARCH
37;86;8;6;STERT
37;0;8;0;SUCS
37;0;8;0;SUGAR
37;0;8;0;SUGOH
37;0;8;0;THIA
37;0;8;0;TRP
37;0;8;0;VITA
37;0;8;0;VITB12
37;0;8;0;VITC
37;0;8;0;VITD
37;0.09;8;0.0072;VITE
37;0.5;8;0.04;VITK
37;0;8;0;VITPYRID
37;0;8;0;WATER
37;0;8;0;ZN
57;0;8;0;ALC
57;3.51;8;0.2808;ASH
57;160;8;12;CA
57;0;8;0;CAROTENS
57;0;8;0;CARTB
57;2.58;8;0.2064;CHOAVL
57;12.27;8;0.9816;CHOCDF
57;0;8;0;CHOLE
57;1.743;8;0.13944;CU
57;2805.21;8;224.4168;ENERC
57;9085;8;726;F16D0T
57;24223;8;1937;F18D1T
57;7782;8;622;F18D2CN6
57;17;8;1;F18D3N3
57;0;8;0;F20D4N6
57;0;8;0;F20D5N3
