PERSON;ID;BESTLOC;GRAMS;portion;EUFDNAME
paula;197;0.01;6;0.0006;VITPYRID
paula;197;4.62;6;0.2772;WATER
paula;197;0.473;6;0.02838;ZN
paula;219;0;48;0;ALC
paula;219;0.8;48;0.384;ASH
paula;219;6.2;48;2.976;CA
paula;219;29.7;48;14.256;CAROTENS
paula;219;14.2;48;6.816;CARTB
paula;219;18.3;48;8.784;CHOAVL
paula;219;23.01;48;11.0448;CHOCDF
paula;219;0;48;0;CHOLE
paula;219;0.108;48;0.05184;CU
paula;219;366.42;48;175.8816;ENERC
paula;219;40.402;48;19.39296;F16D0T
paula;219;10.578;48;5.07744;F18D1T
paula;219;26.417;48;12.68016;F18D2CN6
paula;219;19.638;48;9.42624;F18D3N3
paula;219;0;48;0;F20D4N6
paula;219;0;48;0;F20D5N3
paula;219;0;48;0;F22D6N3
paula;219;0.1127;48;0.054096;FACIDCTG
paula;219;0.1078;48;0.051744;FAFRE
paula;219;0.014;48;0.00672;FAMCIS
paula;219;0.0477;48;0.022896;FAPU
paula;219;0.0196;48;0.009408;FAPUN3
paula;219;0.0264;48;0.012672;FAPUN6
paula;219;0.002;48;0.00096;FAS18
paula;219;0.0461;48;0.022128;FASAT
paula;219;0.4;48;0.192;FAT
paula;219;0;48;0;FATRN
paula;219;0.01;48;0.0048;FD
paula;219;1;48;0;FE
paula;219;1.8;48;0.864;FIBC
paula;219;1;48;0;FIBINS
paula;219;1.7;48;0.816;FIBT
paula;219;12.54;48;6.0192;FOL
paula;219;2.7;48;1.296;FRUS
paula;219;4.4;48;2.112;GLUS
paula;219;1;48;0;ID
paula;219;358.4;48;172.032;K
paula;219;0;48;0;LACS
paula;219;0;48;0;MALS
paula;219;31.32;48;15.0336;MG
paula;219;0.24;48;0.1152;MN
paula;219;0.005;48;0.0024;MO
paula;219;0;48;0;MYRIC
paula;219;5;48;2;NA
paula;219;12.74;48;6.1152;NACL
paula;219;0.7;48;0.336;NIA
paula;219;0.917;48;0.44016;NIAEQ
paula;219;0.19;48;0.0912;NT
paula;219;0.44;48;0.2112;OA
paula;219;24.9;48;11.952;P
paula;219;1.2;48;0.576;PROT
paula;219;0.7;48;0.336;PSACNCS
paula;219;0;48;0;QUERCE
paula;219;0;48;0;RETOL
paula;219;0.06;48;0.0288;RIBF
paula;219;0.32;48;0.1536;SE
paula;219;4.8;48;2.304;STARCH
paula;219;11.6;48;5.568;STERT
paula;219;6.4;48;3.072;SUCS
paula;219;13.5;48;6.48;SUGAR
paula;219;0;48;0;SUGOH
paula;219;0.04;48;0.0192;THIA
paula;219;13;48;6;TRP
paula;219;1.68;48;0.8064;VITA
paula;219;0;48;0;VITB12
paula;219;10;48;4;VITC
paula;219;0;48;0;VITD
paula;219;0.21;48;0.1008;VITE
paula;219;0.5;48;0.24;VITK
paula;219;0.5;48;0.24;VITPYRID
paula;219;74.6;48;35.808;WATER
paula;219;0.19;48;0.0912;ZN
paula;222;0;5;0;ALC
paula;222;3;5;0;ASH
paula;222;45;5;2;CA
paula;222;22;5;1;CAROTENS
paula;222;0;5;0;CARTB
paula;222;18.8;5;0.94;CHOAVL
paula;222;25.45;5;1.2725;CHOCDF
paula;222;0;5;0;CHOLE
paula;222;2.22;5;0.111;CU
paula;222;2402.55;5;120.1275;ENERC
paula;222;3916;5;195;F16D0T
paula;222;23523;5;1176;F18D1T
paula;222;7782;5;389;F18D2CN6
paula;222;62;5;3;F18D3N3
paula;222;0;5;0;F20D4N6
paula;222;0;5;0;F20D5N3
paula;222;0;5;0;F22D6N3
paula;222;41.2396;5;2.06198;FACIDCTG
paula;222;39.426;5;1.9713;FAFRE
paula;222;23.797;5;1.18985;FAMCIS
paula;222;7.844;5;0.3922;FAPU
paula;222;0.062;5;0.0031;FAPUN3
paula;222;7.782;5;0.3891;FAPUN6
paula;222;3.223;5;0.16115;FAS18
paula;222;7.785;5;0.38925;FASAT
paula;222;46.35;5;2.3175;FAT
paula;222;0;5;0;FATRN
paula;222;0.14;5;0.007;FD
paula;222;6;5;0;FE
paula;222;3.5;5;0.175;FIBC
paula;222;1.9;5;0.095;FIBINS
paula;222;3.5;5;0.175;FIBT
paula;222;69.2;5;3.46;FOL
paula;222;0;5;0;FRUS
paula;222;0;5;0;GLUS
paula;222;10;5;0;ID
paula;222;565;5;28;K
paula;222;0;5;0;LACS
paula;222;0;5;0;MALS
paula;222;260;5;13;MG
paula;222;0.84;5;0.042;MN
